Код заявки,Дата выдачи,Возраст,Заемщик.Пол,СемейноеПоложение,Иждивенцы,Образование,Вид деятельности,Стаж,Стаж общий,Белый доход,"Месячный доход, руб.","Сумма кредита, тыс. руб.","Месячный платеж, руб.",Просрочек свыше 60 дн.
23,4/14/2005,37,Ж,Другое,1-2,Высшее,Собственное дело,От 1 до 3 лет,Свыше 5 лет,нет,22753,176,5834,0
24,4/15/2005,37,М,Женат (замужем),1-2,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,10640,73,2487,1
25,4/15/2005,30,Ж,Женат (замужем),1-2,Среднее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,17630,120,3965,1
26,4/16/2005,36,М,Женат (замужем),1-2,Высшее,Собственное дело,От 1 до 3 лет,Свыше 5 лет,нет,18230,166,5494,0
27,4/16/2005,27,М,Холост (незамужем),0,Высшее,Наемный работник,От 1 до 3 лет,От 3 до 5 лет,нет,27345,114,5450,0
28,4/17/2005,33,М,Холост (незамужем),0,Среднее,Собственное дело,От 1 до 3 лет,Свыше 5 лет,нет,18213,97,4651,0
29,4/20/2005,35,Ж,Холост (незамужем),0,Высшее,Наемный работник,Свыше 5 лет,Свыше 5 лет,нет,17604,159,5245,0
30,4/21/2005,40,М,Женат (замужем),3 и более,Высшее,Собственное дело,менее 1 года,Свыше 5 лет,нет,19481,206,6812,0
31,4/21/2005,55,М,Женат (замужем),1-2,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,13698,120,4077,0
32,4/22/2005,31,Ж,Женат (замужем),0,Среднее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,9389,93,3058,1
33,4/26/2005,39,М,Холост (незамужем),0,Высшее,Наемный работник,менее 1 года,Свыше 5 лет,нет,17022,159,5267,0
34,4/27/2005,27,Ж,Другое,0,Высшее,Наемный работник,От 1 до 3 лет,От 1 до 3 лет,нет,27388,273,9031,0
35,4/28/2005,27,М,Холост (незамужем),0,Высшее,Наемный работник,менее 1 года,Свыше 5 лет,да,9560,81,2649,1
36,4/28/2005,33,М,Женат (замужем),0,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,17664,180,5947,1
37,5/1/2005,21,М,Холост (незамужем),0,Высшее,Наемный работник,От 3 до 5 лет,Свыше 5 лет,нет,57876,238,22912,0
38,5/1/2005,41,М,Другое,1-2,Среднее,Собственное дело,менее 1 года,Свыше 5 лет,нет,12182,121,4011,1
39,5/1/2005,33,М,Холост (незамужем),0,Высшее,Наемный работник,менее 1 года,Свыше 5 лет,нет,15232,67,6416,0
40,5/1/2005,24,М,Женат (замужем),0,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,16448,97,2103,1
41,5/1/2005,49,М,Женат (замужем),1-2,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,18581,101,2199,1
42,5/2/2005,55,М,Женат (замужем),1-2,Среднее,Наемный работник,Свыше 5 лет,Свыше 5 лет,да,10391,86,2923,0
43,5/2/2005,31,М,Холост (незамужем),0,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,44016,235,7773,0
44,5/3/2005,33,М,Другое,1-2,Среднее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,да,7976,141,3111,1
45,5/3/2005,26,Ж,Женат (замужем),1-2,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,13758,154,5098,0
46,5/7/2005,36,Ж,Холост (незамужем),1-2,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,да,18710,222,7765,1
47,5/7/2005,34,Ж,Холост (незамужем),1-2,Среднее,Наемный работник,От 3 до 5 лет,Свыше 5 лет,нет,4617,47,1562,0
48,5/9/2005,40,М,Женат (замужем),1-2,Высшее,Наемный работник,менее 1 года,Свыше 5 лет,нет,5971,81,2763,1
49,5/10/2005,35,М,Женат (замужем),1-2,Среднее,Собственное дело,Свыше 5 лет,Свыше 5 лет,нет,308,84,2871,1
50,5/10/2005,38,М,Другое,1-2,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,24475,81,2103,0
51,5/13/2005,46,Ж,Женат (замужем),1-2,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,16200,97,2101,1
52,5/13/2005,30,М,Холост (незамужем),1-2,Высшее,Наемный работник,Свыше 5 лет,Свыше 5 лет,нет,14855,146,4826,1
53,5/13/2005,55,М,Женат (замужем),0,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,15437,170,5608,0
54,5/13/2005,41,М,Женат (замужем),0,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,15283,136,4494,0
55,5/14/2005,30,М,Другое,1-2,Высшее,Наемный работник,Свыше 5 лет,Свыше 5 лет,да,26608,251,8313,1
56,5/15/2005,51,М,Женат (замужем),1-2,Среднее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,13775,138,4557,0
57,5/16/2005,25,М,Женат (замужем),0,Среднее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,13227,107,3644,0
58,5/16/2005,24,М,Холост (незамужем),0,Высшее,Наемный работник,От 3 до 5 лет,От 3 до 5 лет,да,11239,196,4321,1
59,5/16/2005,24,М,Холост (незамужем),0,Высшее,Наемный работник,менее 1 года,Свыше 5 лет,нет,15763,112,2916,0
60,5/16/2005,34,Ж,Другое,1-2,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,4926,51,1699,0
61,5/17/2005,38,М,Женат (замужем),1-2,Высшее,Наемный работник,менее 1 года,Свыше 5 лет,да,14289,254,8280,0
62,5/17/2005,55,М,Женат (замужем),1-2,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,10777,74,2443,0
63,5/20/2005,51,М,Женат (замужем),1-2,Высшее,Наемный работник,менее 1 года,Свыше 5 лет,нет,20877,160,5220,0
64,5/20/2005,29,М,Женат (замужем),1-2,Высшее,Собственное дело,От 1 до 3 лет,Свыше 5 лет,нет,21648,239,7901,0
65,5/21/2005,29,Ж,Женат (замужем),1-2,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,13004,82,2678,0
66,5/21/2005,45,М,Женат (замужем),1-2,Среднее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,да,9877,58,1966,1
67,5/21/2005,24,М,Холост (незамужем),0,Среднее,Наемный работник,От 1 до 3 лет,От 1 до 3 лет,нет,11462,112,3713,1
68,5/22/2005,39,М,Другое,3 и более,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,368,65,2216,1
69,5/22/2005,43,М,Женат (замужем),0,Высшее,Наемный работник,От 3 до 5 лет,Свыше 5 лет,нет,26283,259,8568,0
70,5/22/2005,31,Ж,Холост (незамужем),0,Высшее,Наемный работник,менее 1 года,Свыше 5 лет,да,12456,117,3866,0
71,5/22/2005,30,М,Женат (замужем),1-2,Высшее,Собственное дело,Свыше 5 лет,Свыше 5 лет,нет,18555,151,4977,0
72,5/23/2005,36,М,Женат (замужем),1-2,Высшее,Наемный работник,Свыше 5 лет,Свыше 5 лет,да,9064,48,1598,0
73,5/23/2005,37,М,Холост (незамужем),0,Высшее,Наемный работник,менее 1 года,Свыше 5 лет,нет,12353,112,3693,0
74,5/23/2005,27,М,Женат (замужем),1-2,Высшее,Собственное дело,От 1 до 3 лет,От 3 до 5 лет,нет,23164,155,5112,0
75,5/23/2005,47,М,Женат (замужем),1-2,Высшее,Собственное дело,От 1 до 3 лет,Свыше 5 лет,нет,28107,257,8386,0
76,5/24/2005,52,М,Другое,0,Среднее,Собственное дело,Свыше 5 лет,Свыше 5 лет,нет,8635,102,3364,0
77,5/24/2005,38,Ж,Холост (незамужем),1-2,Высшее,Наемный работник,От 3 до 5 лет,Свыше 5 лет,нет,24681,287,7480,1
78,5/24/2005,26,М,Холост (незамужем),0,Высшее,Наемный работник,менее 1 года,Свыше 5 лет,нет,17279,154,5083,1
79,5/27/2005,47,М,Холост (незамужем),0,Высшее,Наемный работник,От 1 до 3 лет,От 1 до 3 лет,да,3692,236,8040,1
80,5/27/2005,39,М,Холост (незамужем),0,Высшее,Собственное дело,менее 1 года,Свыше 5 лет,да,25426,282,9336,1
81,5/27/2005,29,М,Холост (незамужем),0,Высшее,Наемный работник,От 3 до 5 лет,Свыше 5 лет,нет,15994,190,6295,0
82,5/28/2005,57,М,Другое,0,Высшее,Наемный работник,Свыше 5 лет,Свыше 5 лет,нет,17228,200,6627,1
83,5/28/2005,29,М,Женат (замужем),1-2,Высшее,Наемный работник,От 3 до 5 лет,Свыше 5 лет,да,10254,89,2931,0
84,5/28/2005,25,М,Женат (замужем),1-2,Среднее,Наемный работник,От 3 до 5 лет,Свыше 5 лет,нет,9226,103,3390,0
85,5/29/2005,54,М,Другое,1-2,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,17870,123,2681,1
86,5/29/2005,32,М,Холост (незамужем),0,Высшее,Наемный работник,Свыше 5 лет,Свыше 5 лет,нет,15403,116,3789,0
87,5/29/2005,35,М,Женат (замужем),1-2,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,10785,99,2264,0
88,5/29/2005,47,М,Другое,0,Высшее,Собственное дело,менее 1 года,Свыше 5 лет,нет,17407,128,4248,0
89,5/30/2005,43,М,Холост (незамужем),0,Высшее,Наемный работник,менее 1 года,Свыше 5 лет,да,3084,247,8155,0
90,5/30/2005,35,М,Женат (замужем),1-2,Среднее,Наемный работник,менее 1 года,Свыше 5 лет,нет,11711,105,3570,0
91,5/31/2005,31,Ж,Женат (замужем),1-2,Среднее,Наемный работник,Свыше 5 лет,Свыше 5 лет,нет,8053,70,2317,0
92,6/3/2005,34,Ж,Другое,1-2,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,да,5774,111,3661,0
93,6/3/2005,26,М,Холост (незамужем),0,Высшее,Наемный работник,От 1 до 3 лет,От 1 до 3 лет,нет,17630,99,3350,0
94,6/3/2005,39,Ж,Женат (замужем),1-2,Высшее,Наемный работник,менее 1 года,Свыше 5 лет,да,14709,162,5303,1
95,6/4/2005,23,М,Холост (незамужем),0,Высшее,Наемный работник,От 1 до 3 лет,От 1 до 3 лет,нет,24672,196,6659,1
96,6/4/2005,40,Ж,Другое,0,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,41643,257,8739,1
97,6/4/2005,37,М,Женат (замужем),1-2,Среднее,Наемный работник,менее 1 года,От 1 до 3 лет,нет,13878,112,3700,0
98,6/4/2005,37,М,Другое,0,Среднее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,да,21280,185,6101,0
99,6/5/2005,50,Ж,Холост (незамужем),1-2,Высшее,Собственное дело,Свыше 5 лет,Свыше 5 лет,нет,15471,81,2690,0
100,6/5/2005,29,М,Женат (замужем),0,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,17322,117,3972,1
101,6/5/2005,30,М,Холост (незамужем),0,Высшее,Наемный работник,От 1 до 3 лет,От 1 до 3 лет,нет,27842,268,8861,0
102,6/5/2005,34,Ж,Женат (замужем),1-2,Высшее,Наемный работник,Свыше 5 лет,Свыше 5 лет,да,1225,124,4113,1
103,6/5/2005,43,М,Женат (замужем),1-2,Высшее,Наемный работник,От 3 до 5 лет,Свыше 5 лет,нет,30934,140,4645,1
104,6/5/2005,31,М,Холост (незамужем),0,Высшее,Наемный работник,От 1 до 3 лет,От 1 до 3 лет,нет,23507,285,6201,1
105,6/6/2005,36,М,Женат (замужем),1-2,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,17407,150,5098,0
106,6/6/2005,36,М,Холост (незамужем),0,Среднее,Собственное дело,От 1 до 3 лет,Свыше 5 лет,нет,23310,236,7695,1
107,6/6/2005,35,М,Женат (замужем),1-2,Высшее,Наемный работник,менее 1 года,Свыше 5 лет,нет,14298,126,4163,1
108,6/6/2005,43,М,Женат (замужем),0,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,10880,85,2817,0
109,6/6/2005,37,М,Другое,0,Высшее,Наемный работник,Свыше 5 лет,Свыше 5 лет,нет,23002,171,5664,0
110,6/7/2005,37,М,Холост (незамужем),0,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,24681,174,5760,1
111,6/7/2005,34,Ж,Холост (незамужем),1-2,Среднее,Наемный работник,менее 1 года,Свыше 5 лет,да,7890,90,2981,0
112,6/7/2005,34,М,Женат (замужем),1-2,Среднее,Наемный работник,Свыше 5 лет,Свыше 5 лет,нет,18667,81,2690,0
113,6/7/2005,29,М,Холост (незамужем),0,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,да,24089,182,4007,1
114,6/10/2005,50,М,Женат (замужем),1-2,Высшее,Наемный работник,менее 1 года,Свыше 5 лет,нет,17999,227,6247,0
115,6/10/2005,34,Ж,Женат (замужем),0,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,52754,285,9430,1
116,6/10/2005,29,М,Женат (замужем),1-2,Высшее,Собственное дело,От 1 до 3 лет,Свыше 5 лет,нет,23276,266,8779,0
117,6/10/2005,49,М,Женат (замужем),1-2,Высшее,Собственное дело,Свыше 5 лет,Свыше 5 лет,нет,10863,116,3821,0
118,6/11/2005,41,М,Женат (замужем),1-2,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,да,27705,228,7533,1
119,6/11/2005,30,М,Холост (незамужем),0,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,да,13938,241,5246,1
120,6/11/2005,31,Ж,Женат (замужем),1-2,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,18787,263,5729,0
121,6/11/2005,41,Ж,Женат (замужем),1-2,Высшее,Наемный работник,Свыше 5 лет,Свыше 5 лет,нет,9860,116,3942,0
122,6/11/2005,36,М,Холост (незамужем),0,Высшее,Наемный работник,менее 1 года,Свыше 5 лет,нет,16080,142,4709,0
123,6/12/2005,50,М,Женат (замужем),1-2,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,15471,114,3860,0
124,6/12/2005,39,М,Женат (замужем),1-2,Высшее,Наемный работник,Свыше 5 лет,Свыше 5 лет,нет,16714,171,5584,0
125,6/12/2005,31,М,Женат (замужем),0,Среднее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,да,12850,109,2941,1
126,6/12/2005,47,М,Женат (замужем),1-2,Высшее,Наемный работник,менее 1 года,Свыше 5 лет,нет,27850,157,5192,0
127,6/13/2005,38,М,Холост (незамужем),0,Высшее,Наемный работник,От 1 до 3 лет,От 1 до 3 лет,нет,40263,250,8269,1
128,6/13/2005,42,Ж,Другое,0,Высшее,Собственное дело,От 1 до 3 лет,Свыше 5 лет,нет,26017,191,4163,0
129,6/13/2005,33,М,Другое,1-2,Среднее,Наемный работник,От 1 до 3 лет,От 1 до 3 лет,нет,11771,133,4390,1
130,6/13/2005,26,М,Холост (незамужем),0,Среднее,Собственное дело,От 1 до 3 лет,Свыше 5 лет,нет,23224,280,6106,1
131,6/13/2005,23,М,Холост (незамужем),0,Высшее,Наемный работник,От 1 до 3 лет,От 1 до 3 лет,нет,37162,299,14179,0
132,6/14/2005,43,М,Женат (замужем),1-2,Высшее,Наемный работник,Свыше 5 лет,Свыше 5 лет,да,17639,191,6322,1
133,6/14/2005,43,Ж,Другое,1-2,Высшее,Наемный работник,Свыше 5 лет,Свыше 5 лет,нет,35612,187,6181,0
134,6/14/2005,30,М,Женат (замужем),0,Высшее,Наемный работник,От 3 до 5 лет,Свыше 5 лет,нет,15489,172,5702,0
135,6/14/2005,50,М,Женат (замужем),1-2,Высшее,Собственное дело,Свыше 5 лет,Свыше 5 лет,нет,22762,260,8589,0
136,6/14/2005,33,М,Женат (замужем),0,Высшее,Собственное дело,От 1 до 3 лет,Свыше 5 лет,нет,9295,154,5097,0
137,6/14/2005,26,Ж,Женат (замужем),1-2,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,15797,101,2188,1
138,6/17/2005,29,М,Холост (незамужем),0,Высшее,Наемный работник,От 3 до 5 лет,Свыше 5 лет,да,5226,192,6344,0
139,6/17/2005,32,М,Другое,1-2,Высшее,Наемный работник,менее 1 года,Свыше 5 лет,да,51957,153,5069,0
140,6/17/2005,36,М,Женат (замужем),1-2,Среднее,Наемный работник,От 3 до 5 лет,Свыше 5 лет,нет,18504,147,4872,0
141,6/17/2005,39,М,Женат (замужем),1-2,Среднее,Собственное дело,От 1 до 3 лет,Свыше 5 лет,нет,37111,195,6457,1
142,6/18/2005,27,Ж,Холост (незамужем),0,Высшее,Наемный работник,менее 1 года,Свыше 5 лет,нет,6202,43,1416,0
143,6/18/2005,46,М,Женат (замужем),0,Высшее,Собственное дело,От 3 до 5 лет,Свыше 5 лет,нет,9303,107,3540,0
144,6/18/2005,25,М,Холост (незамужем),0,Высшее,Собственное дело,От 1 до 3 лет,От 1 до 3 лет,нет,15497,264,5757,0
145,6/18/2005,32,М,Женат (замужем),0,Среднее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,15497,140,3050,0
146,6/18/2005,39,М,Женат (замужем),1-2,Высшее,Наемный работник,От 3 до 5 лет,Свыше 5 лет,нет,9303,135,3086,0
147,6/18/2005,41,М,Женат (замужем),1-2,Высшее,Наемный работник,Свыше 5 лет,Свыше 5 лет,да,8678,86,1914,0
148,6/18/2005,50,М,Женат (замужем),0,Среднее,Наемный работник,менее 1 года,Свыше 5 лет,нет,10837,116,4105,1
149,6/19/2005,37,М,Женат (замужем),0,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,да,15009,253,5507,1
150,6/19/2005,39,М,Другое,0,Среднее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,14546,174,5909,0
151,6/19/2005,50,М,Женат (замужем),1-2,Высшее,Наемный работник,Свыше 5 лет,Свыше 5 лет,нет,20200,171,5664,0
152,6/19/2005,32,М,Женат (замужем),3 и более,Высшее,Наемный работник,Свыше 5 лет,Свыше 5 лет,да,13801,216,4699,0
153,6/19/2005,27,Ж,Другое,0,Высшее,Наемный работник,От 3 до 5 лет,От 3 до 5 лет,нет,15848,127,4203,0
154,6/19/2005,30,М,Женат (замужем),0,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,9946,163,3625,0
155,6/19/2005,26,М,Холост (незамужем),0,Среднее,Наемный работник,менее 1 года,Свыше 5 лет,нет,9946,91,3095,0
156,6/19/2005,30,М,Женат (замужем),0,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,да,8472,188,6231,1
157,6/20/2005,40,М,Другое,1-2,Высшее,Собственное дело,От 1 до 3 лет,Свыше 5 лет,нет,41951,285,9430,1
158,6/20/2005,29,М,Другое,0,Среднее,Наемный работник,От 3 до 5 лет,Свыше 5 лет,нет,18718,130,4305,0
159,6/20/2005,25,Ж,Женат (замужем),1-2,Высшее,Наемный работник,От 3 до 5 лет,От 3 до 5 лет,да,6237,75,2464,1
160,6/20/2005,46,М,Другое,1-2,Высшее,Наемный работник,менее 1 года,Свыше 5 лет,да,9355,129,4270,0
161,6/20/2005,34,М,Холост (незамужем),0,Среднее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,да,12208,181,3993,0
162,6/20/2005,49,М,Женат (замужем),0,Высшее,Собственное дело,Свыше 5 лет,Свыше 5 лет,нет,24955,248,8213,0
163,6/20/2005,39,М,Холост (незамужем),0,Высшее,Наемный работник,Свыше 5 лет,Свыше 5 лет,нет,17810,116,4129,1
164,6/21/2005,39,М,Женат (замужем),1-2,Среднее,Собственное дело,менее 1 года,Свыше 5 лет,нет,14658,144,3218,0
165,6/21/2005,38,М,Женат (замужем),1-2,Высшее,Собственное дело,Свыше 5 лет,Свыше 5 лет,да,17639,76,3649,0
166,6/21/2005,36,М,Холост (незамужем),1-2,Среднее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,9355,53,1788,0
167,6/21/2005,39,М,Холост (незамужем),0,Высшее,Наемный работник,менее 1 года,Свыше 5 лет,да,20491,120,5752,0
168,6/21/2005,29,Ж,Другое,0,Высшее,Наемный работник,менее 1 года,Свыше 5 лет,да,8138,142,3084,0
169,6/21/2005,32,М,Женат (замужем),1-2,Высшее,Собственное дело,От 1 до 3 лет,Свыше 5 лет,нет,37428,225,7647,0
170,6/21/2005,37,М,Другое,1-2,Среднее,Наемный работник,менее 1 года,Свыше 5 лет,нет,9355,108,3518,1
171,6/24/2005,47,Ж,Холост (незамужем),0,Высшее,Наемный работник,От 3 до 5 лет,Свыше 5 лет,нет,28013,208,6860,0
172,6/24/2005,43,Ж,Другое,0,Среднее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,да,6228,68,1474,0
173,6/25/2005,55,М,Женат (замужем),1-2,Высшее,Наемный работник,От 3 до 5 лет,Свыше 5 лет,нет,12490,96,3250,0
174,6/25/2005,37,М,Женат (замужем),1-2,Среднее,Наемный работник,От 3 до 5 лет,Свыше 5 лет,да,15214,64,2107,0
175,6/25/2005,29,М,Женат (замужем),1-2,Высшее,Наемный работник,От 3 до 5 лет,Свыше 5 лет,нет,8747,69,2268,0
176,6/25/2005,41,М,Женат (замужем),1-2,Высшее,Наемный работник,Свыше 5 лет,Свыше 5 лет,да,14401,146,4813,0
177,6/25/2005,36,М,Другое,1-2,Среднее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,да,15326,180,5949,1
178,6/25/2005,36,Ж,Женат (замужем),0,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,3752,109,3711,0
179,6/25/2005,33,М,Холост (незамужем),0,Среднее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,9372,105,2295,0
180,6/26/2005,23,М,Женат (замужем),1-2,Среднее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,34669,115,3903,1
181,6/26/2005,25,М,Холост (незамужем),0,Среднее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,8344,92,3050,0
182,6/26/2005,30,М,Женат (замужем),1-2,Высшее,Наемный работник,Свыше 5 лет,Свыше 5 лет,нет,22051,144,4758,0
183,6/26/2005,43,М,Женат (замужем),1-2,Высшее,Собственное дело,Свыше 5 лет,Свыше 5 лет,нет,18495,218,7219,0
184,6/26/2005,45,Ж,Другое,1-2,Высшее,Наемный работник,От 3 до 5 лет,Свыше 5 лет,нет,11317,195,4249,0
185,6/26/2005,36,М,Женат (замужем),1-2,Среднее,Наемный работник,От 3 до 5 лет,Свыше 5 лет,нет,14246,161,5324,0
186,6/26/2005,34,Ж,Женат (замужем),1-2,Высшее,Наемный работник,менее 1 года,Свыше 5 лет,нет,14058,159,5244,0
187,6/26/2005,35,Ж,Женат (замужем),1-2,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,7813,86,2832,0
188,6/27/2005,41,М,Женат (замужем),1-2,Высшее,Наемный работник,менее 1 года,Свыше 5 лет,нет,16859,200,6595,0
189,6/27/2005,22,Ж,Холост (незамужем),0,Среднее,Наемный работник,От 1 до 3 лет,От 3 до 5 лет,нет,16885,165,3588,0
190,6/27/2005,35,М,Женат (замужем),1-2,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,да,8926,150,3273,1
191,6/27/2005,34,Ж,Другое,1-2,Высшее,Наемный работник,менее 1 года,От 3 до 5 лет,нет,17810,171,5650,0
192,6/27/2005,49,М,Женат (замужем),0,Высшее,Наемный работник,менее 1 года,Свыше 5 лет,нет,8010,179,5926,0
193,6/27/2005,40,М,Женат (замужем),1-2,Среднее,Наемный работник,Свыше 5 лет,Свыше 5 лет,нет,23456,137,4531,0
194,6/27/2005,34,Ж,Женат (замужем),1-2,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,да,8164,136,2970,1
195,6/27/2005,29,М,Женат (замужем),1-2,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,34404,223,7363,0
196,6/27/2005,38,Ж,Другое,0,Высшее,Наемный работник,От 1 до 3 лет,Свыше 5 лет,нет,9398,162,3565,1
197,6/27/2005,31,М,Женат (замужем),1-2,Высшее,Наемный работник,От 3 до 5 лет,Свыше 5 лет,нет,18324,253,8354,0
198,6/27/2005,25,М,Женат (замужем),1-2,Высшее,Наемный работник,менее 1 года,От 3 до 5 лет,нет,21888,82,2786,0
199,6/27/2005,25,М,Холост (незамужем),0,Среднее,Наемный работник,Свыше 5 лет,Свыше 5 лет,нет,12507,134,4439,0
